date,rme,re_ew,r_size,r_value,r_prof,r_valprof,r_fscore,r_debtiss,r_repurch,r_nissa,r_accruals,r_growth,r_aturnover,r_gmargins,r_divp,r_ep,r_cfp,r_noa,r_inv,r_invcap,r_igrowth,r_sgrowth,r_lev,r_roaa,r_roea,r_sp,r_gltnoa,r_mom,r_indmom,r_valmom,r_valmomprof,r_shortint,r_mom12,r_momrev,r_lrrev,r_valuem,r_nissm,r_sue,r_roe,r_rome,r_roa,r_strev,r_ivol,r_betaarb,r_season,r_indrrev,r_indrrevlv,r_indmomrev,r_ciss,r_price,r_age,r_shvol
07/1963,-0.0039,-0.012448133,0.0142829913,-0.006507186,-0.004165809,-0.007621718,0.0295518245,,,-0.004542467,-0.014843858,-0.008373247,-0.019395982,0.0465711672,-0.016124482,-0.001063667,-0.003798232,0.0117768927,0.000588173,-0.000939047,-0.004704874,0.013954566,-0.004833297,0.0146106791,0.0178890875,-0.019651581,,0.0093780632,-0.004708967,0.0084126301,0.0075294701,,0.0114541029,0.0125553939,0.0170839723,-0.008707941,-0.004633483,,,,,0.0009366267,,,0.0028165232,-0.006343019,,,0.0034764566,0.0230982819,0.0073221136,-0.013473867
08/1963,0.0507,0.0536817159,0.0075872258,0.0000993884,0.033021848,0.0261286086,0.0117258763,,,0.0150905924,-0.02565602,0.0043835915,0.029500424,-0.009992434,-0.021176876,-0.004847782,-0.004480839,-0.005403794,-0.014072146,0.0009213286,0.0154952266,0.0191202548,-0.011740209,0.0187274102,-0.000735777,0.0157132496,,0.0192202287,0.0076005822,0.0129171242,0.0292290562,,0.0129167617,-0.040899243,-0.007769038,-0.005665539,0.0227962494,,,,,0.0077230944,,,0.0203534894,0.0148976159,,,0.0072370941,0.015961907,0.0006150205,0.0276589422
09/1963,-0.0157,-0.022510201,-0.000116923,0.014199352,-0.006703925,0.0077863669,0.0013157954,,,-0.008313488,-0.036739314,-0.029319923,-0.009712301,0.0039819663,0.0289752033,0.006249681,0.0044830258,0.0071875992,-0.01934473,-0.013201652,-0.033580192,-0.018727867,-0.001262696,0.0001824058,-0.028044221,-0.003023425,,-0.004940796,0.0033383885,0.0077592634,0.0029052617,,-0.002083057,0.0108895111,-0.015540767,0.0137332691,-0.005075144,,,,,-0.026277504,,,0.0342812273,-0.045644793,,,-0.018269209,-0.002263544,-0.001280837,-0.025255706
10/1963,0.0253,0.0116735856,0.0037903727,0.0151178358,0.0424415416,0.0473573617,0.0370925885,,,0.0139531805,-0.053688066,0.0142292308,0.0465048676,-0.025775418,-0.007426244,0.0033718425,0.008898969,0.0053145723,-0.010231111,0.0098835703,0.025929795,0.0376997408,0.0009031472,-0.000405305,-0.018808535,0.034335733,,0.0155235539,0.0093064754,0.0281928999,0.0471455403,,0.0146587823,-0.010146401,-0.004894791,0.0091743706,-0.005205778,,,,,-0.017939664,,,0.0116612018,-0.020661457,,,-0.005513208,0.0123479335,0.0259403543,0.0253079298
11/1963,-0.0085,-0.011411107,0.0198741765,0.0073191134,-0.01349229,-0.011850309,0.009304692,,,-0.011819189,0.0176986273,0.0012033795,0.0115137283,-0.037629968,0.0014928985,-0.00103181,0.0119003803,0.0098138333,0.0303999131,0.0061554556,0.0075706482,-0.001532923,0.0069470744,-0.006685974,-0.012308406,0.0118525463,,-0.002120958,-0.005596189,-0.003972454,-0.011219182,,0.002886363,0.0150762787,-0.001618224,0.0081446587,0.0064509441,,,,,-0.018318269,-0.005908587,,0.0147517841,-0.024106589,-0.029787726,0.0158115139,0.0062549613,0.0070780474,0.0148442276,0.000967969
12/1963,0.0183,0.0109746683,0.0177282961,0.0029446735,-0.010277341,-0.003106549,0.0102238962,,,-0.006253312,-0.014578855,-0.008569613,-0.041533366,0.0499837657,-0.00125198,-0.004129409,0.0010390904,0.0135184636,-0.008944666,-0.01508288,-0.024386343,-0.000416561,-0.006684756,0.0046414684,-0.0079431,-0.021591626,,0.0103060204,-0.008187659,0.0071013387,0.002888671,,0.0227525614,0.0076981159,0.0074131253,-0.001052874,-0.006654095,,,,,-0.007877244,-0.01255959,,0.0354705586,-0.01320634,-0.017240631,0.015172346,-0.011778527,0.0107123873,0.0091761947,-0.019453977
01/1964,0.0224,0.010044203,0.0015703973,0.0192923664,-0.012549771,0.0103742913,0.0322755826,,,-0.01891404,-0.0520614,-0.026400384,-0.011002034,0.0080832089,0.0038067678,0.0195954691,0.0233966563,0.0029427673,-0.015393099,-0.023694951,0.0131508599,0.0009796999,0.0094946409,0.0102912429,-0.017992283,0.0037107757,,0.0130523021,0.0172326099,0.0277464815,0.0160537874,,0.017140853,0.0153174293,-0.00902938,0.0041893485,-0.014007945,,,,,-0.006443773,-0.013942921,,0.0338727829,-0.026077998,-0.0561433,0.0394928566,-0.010184546,0.009461798,0.0243426179,-0.007995152
02/1964,0.0154,0.0215774123,-0.01174171,0.0260212636,-0.004186555,0.0333505136,0.0070828389,,,-0.020811318,-0.01609247,-0.010261331,0.0166672745,-0.037571398,0.0098743819,0.0234380632,0.0308361945,0.013821518,-0.007988532,-0.009065274,0.0052467635,0.0035276802,0.0171051704,-0.009760311,-0.022151309,0.0295800406,,0.0031993676,0.0096401746,0.0218043711,0.0234383329,,0.0133424157,0.0131910286,-0.024425844,0.0155141794,0.0034107401,,,,,0.009207424,0.0102923913,,0.0040054426,0.01216662,-0.028820242,0.0187001215,-0.009775513,0.0016100736,0.0177846236,0.0133863714
03/1964,0.0141,0.0247840237,-0.036616504,0.0771050455,-0.005891196,0.0773691908,0.0115020153,,,-0.030736443,-0.093395667,-0.05225034,0.0134751407,-0.085643787,0.0419091077,0.0511319255,0.0716376021,-0.006636543,-0.055894942,-0.028129588,-0.053802465,-0.002314316,0.0453775921,-0.046115646,-0.09083223,0.0614391284,,0.0212477319,0.0267013883,0.0642533531,0.0574910684,,0.0189730066,-0.014361823,-0.055649114,0.0540945757,-0.00930857,,,,,0.0079109859,0.002616941,,-0.019593279,-0.00648452,-0.021023724,0.043100943,0.0049011553,-0.011932896,0.0122622413,0.0140281832
04/1964,0.001,-0.007146194,0.017092666,0.0037865314,-0.004263917,-0.00215758,0.0061491657,,,-0.006469168,0.0493934439,0.0411638616,-0.021162355,0.0397842657,0.0228877819,0.0118433985,-0.005916074,0.0115508182,0.068374072,0.0067120933,0.0715924564,-0.031904089,-0.008094165,0.026357653,-0.001448082,-0.020446006,,-0.000112935,-0.004953738,0.0070563726,0.0078888411,,-0.004371357,0.0076654379,0.0117857072,0.0022896982,-0.023205013,,,,,-0.034307498,-0.024570954,,0.0130499794,-0.054557088,-0.093511014,0.0510290212,0.0008729899,-0.004474016,0.0112733337,-0.038223907
05/1964,0.0142,0.0148740606,-0.019614221,0.0067795143,0.0079562962,0.020493921,-0.024608097,,,-0.01627523,-0.032359853,-0.025245543,0.0056021729,0.0019369951,0.0077469127,0.0003244147,0.0062860226,-0.000865417,-0.0249039,-0.005161342,-0.025366898,-0.019107399,0.0054356271,-0.023941873,-0.026401602,0.0106003089,,0.0136507876,0.0250818752,0.0122174821,0.0174863172,,0.0172324979,0.0075871324,-0.001315911,-0.007572052,0.0115965419,,,,,0.011420119,0.0070594876,,0.017639095,0.0062855373,-0.008764832,0.0256009746,-0.015176065,0.0084032268,-0.006098573,0.0129386151
06/1964,0.0127,0.0129454436,0.0045185337,0.0072167863,0.0094906688,0.0144114112,0.0257879448,,,0.0209913334,0.0156862385,0.010575622,0.0259932831,-0.023687183,-0.00192184,0.006124977,0.0059538347,0.008405144,0.0051694621,0.0061633229,-0.003413938,-0.000487615,0.0088058235,-0.019207421,-0.010810976,0.0230122459,,0.0013338551,0.0081748738,0.0006466831,0.0026196236,,-0.007001027,-0.009923993,0.0092778996,0.0134062497,0.0140520016,,,,,-0.005277398,-0.00827782,,0.0069853473,-0.021451867,-0.041546682,0.0371993696,0.001624247,-0.003436391,0.0267155915,0.0024677541
07/1964,0.0174,0.019230526,0.0091556183,-0.00823565,-0.015090864,-0.024293991,0.0081324,,,0.0031577389,0.0002138484,-0.008636435,-0.027855602,0.0360706085,0.0029313653,-0.004027881,-0.010527749,-0.008786153,-0.012844195,-0.002378504,0.0152821985,0.0074486539,-0.003021721,-0.006283134,0.0088547616,-0.018844035,0.0633914378,-0.009106848,-0.002051709,-0.013450753,-0.021322508,,-0.008405695,-0.011039025,-0.002356116,-0.001897994,0.0028568692,,,,,-0.010430987,-0.016285469,,0.0041234858,-0.014616856,-0.032568462,0.0125034926,0.0040737581,0.0068227082,0.0140958579,-0.012361205
08/1964,-0.0144,-0.012354392,-0.00030629,0.0163632597,-0.018590644,0.0035532319,0.0140030095,,,-0.002509642,-0.001945397,-0.003638631,0.0040480695,-0.023721992,0.011458771,0.0213601175,0.0151306248,-0.013738118,-0.003984477,0.0135975902,0.0239777117,-0.010815238,0.0146614732,-0.018016233,-0.011966452,0.0102993264,0.0050972702,-0.003943391,0.0004428847,0.0071939836,0.0001003556,,-0.008025951,-0.016538174,0.0152438668,0.0158165183,-0.002462964,,,,,0.0108315677,-0.010450207,,0.0158104593,0.0035366073,-0.028813663,0.0261912471,-0.012170571,0.0089083561,0.0126428816,-0.00957386
09/1964,0.0269,0.0288464838,0.0126633748,0.0081124155,0.002201353,0.0098184667,-0.006930476,,,-0.002554198,-0.02184109,-0.001756679,0.0119728571,-0.024136568,0.0093763152,0.0042876075,0.011289921,0.0053537162,0.0049267076,0.0098277124,0.0036233556,0.0063169338,0.0043547658,-0.00306725,-0.012291299,0.0120540089,-0.08720558,0.0001302007,0.0022686516,0.0060899175,0.0074270361,,-0.000743307,0.0126541229,-0.030561032,0.0081255345,-0.003675231,,,,,-0.023757212,0.0119152889,,-0.046089893,-0.03918274,-0.041686826,0.0300855957,0.0132657053,0.0043986795,0.0127980243,0.0175786087
10/1964,0.0059,0.0112919845,-0.012984842,0.0109130239,0.0097418949,0.0213393112,-0.005561475,,,-0.014363441,-0.006858207,-0.000665579,0.0161064236,-0.009629494,0.000817594,-0.000665052,0.0115817172,-0.027752853,-0.009321115,-0.008645991,-0.018338554,0.0080172732,0.0073724037,-0.009399071,-0.023527204,0.0168326193,-0.050905471,0.004870128,0.0006229258,0.0077066656,0.0097417828,,0.0076128669,0.0003528634,0.0020155092,0.0081043173,-0.013214621,,,,,-0.012602197,-0.00071935,,0.0087742743,-0.012996472,0.0046647394,0.0020981351,-0.009094237,-0.001958002,0.0057539896,0.0019299024
11/1964,0,-0.001386307,0.010785681,-0.029418072,0.0136771438,-0.022553788,0.0128588548,,,0.0070674949,0.002795691,0.0158066872,0.0084925453,0.0341649951,-0.015545975,-0.012635711,-0.021510281,-0.007044561,0.0177212075,0.0042189244,-0.014309901,0.0070992325,-0.018654797,0.0214266738,0.0400520128,-0.015296508,0.0273183364,0.0066135838,0.0146109989,-0.01702473,-0.008520823,,0.0003860427,-0.004379887,0.0456674857,-0.024971296,0.0051013839,,,,,-0.002040733,-0.017266644,,-0.016773454,-0.005410152,-0.008520362,0.0240377485,-0.003934761,0.0045605089,-0.011949419,-0.025656658
12/1964,0.0003,-0.005171468,-0.000535937,-0.03356925,0.0221772776,-0.020172115,-0.003786577,,,0.0108377921,0.0425096705,0.0292534171,0.0107981867,0.0297507388,-0.023097137,-0.032024885,-0.029004229,-0.023338441,0.0394959826,0.0282113954,0.0013274429,0.0213051614,-0.023417125,0.0207065479,0.0321084015,-0.017016796,-0.043146262,-0.004304867,-0.003187645,-0.028570792,-0.014807646,,-0.008236317,-0.002346657,0.014293322,-0.023354112,0.0091998595,,,,,-0.000367261,-0.001075027,,0.0123912481,-0.005630399,-0.010050234,0.0089467863,0.000714617,-0.0106279,-0.010577225,-0.006428204
